Date,Open,High,Low,Close,Adj Close,Volume
2020-07-29,30.920000,31.260000,30.770000,31.020000,31.020000,8215900
2020-07-30,30.650000,30.680000,29.969999,30.240000,30.240000,13062900
2020-07-31,30.400000,30.420000,29.785000,30.260000,30.260000,16346800
2020-08-03,30.240000,31.295000,30.059999,31.190001,31.190001,17078900
2020-08-04,31.170000,32.845001,31.170000,32.680000,32.680000,21958100
2020-08-05,33.099998,33.320000,32.500000,33.200001,33.200001,16987800
2020-08-06,33.270000,34.794998,33.209999,34.709999,34.709999,38601500
2020-08-07,33.090000,33.700001,32.450001,32.900002,32.900002,39071200
2020-08-10,33.040001,33.180000,31.510000,32.270000,32.270000,21347600
2020-08-11,31.660000,32.209999,30.650000,31.209999,31.209999,31569900
2020-08-12,31.459999,32.220001,30.690001,30.840000,30.840000,23375900
2020-08-13,30.520000,31.330000,30.320000,30.459999,30.459999,21976800
2020-08-14,30.400000,30.490000,29.815001,29.990000,29.990000,17631600
2020-08-17,30.049999,30.120001,29.139999,29.480000,29.480000,18544700
2020-08-18,29.500000,30.459999,29.410000,30.080000,30.080000,29398200
2020-08-19,30.150000,30.349001,29.389999,29.420000,29.420000,14050300
2020-08-20,29.129999,31.700001,28.480000,31.410000,31.410000,56663300
2020-08-21,31.389999,31.820000,30.714001,30.830000,30.830000,20217000
2020-08-24,30.969999,31.299999,30.370001,31.040001,31.040001,17406200
2020-08-25,31.040001,31.190001,30.600000,31.190001,31.190001,10056800
2020-08-26,31.010000,32.709999,30.950001,32.299999,32.299999,20599800
2020-08-27,32.400002,33.070000,32.270000,32.799999,32.799999,21306500
2020-08-28,33.000000,33.939999,32.820000,33.799999,33.799999,17825600
2020-08-31,33.619999,33.919998,33.139999,33.630001,33.630001,14980600
2020-09-01,33.450001,34.509998,33.145000,34.299999,34.299999,16013900
2020-09-02,34.209999,34.505001,33.290001,34.369999,34.369999,16552700
2020-09-03,34.080002,34.740002,32.950001,33.410000,33.410000,17288800
2020-09-04,33.330002,33.650002,31.549999,33.240002,33.240002,17480600
2020-09-08,32.360001,35.099998,32.160000,34.320000,34.320000,33683500
2020-09-09,34.110001,35.500000,34.110001,35.009998,35.009998,22803500
2020-09-10,35.200001,36.779999,35.189999,35.980000,35.980000,35468300
2020-09-11,36.299999,37.145000,36.254002,36.980000,36.980000,27130900
2020-09-14,37.099998,38.000000,37.080002,37.950001,37.950001,28016000
2020-09-15,37.950001,38.480000,37.270000,37.470001,37.470001,23532600
2020-09-16,37.389999,38.520000,37.389999,37.660000,37.660000,21787100
2020-09-17,36.680000,37.445000,36.139999,37.060001,37.060001,23534800
2020-09-18,37.150002,37.564999,36.389999,37.119999,37.119999,68428600
2020-09-21,35.860001,36.580002,35.119999,36.490002,36.490002,19100800
2020-09-22,36.529999,36.549999,34.099998,34.400002,34.400002,28242800
2020-09-23,34.450001,34.805000,33.400002,33.549999,33.549999,15796900
2020-09-24,33.660000,34.000000,32.889999,33.349998,33.349998,16404100
2020-09-25,33.200001,34.500000,33.200001,34.459999,34.459999,10736300
2020-09-28,35.799999,36.625000,35.259998,35.560001,35.560001,22878400
2020-09-29,35.560001,35.650002,34.595001,35.430000,35.430000,16488700
2020-09-30,35.279999,36.500000,35.279999,36.480000,36.480000,21386300
2020-10-01,36.860001,37.827999,36.580002,37.139999,37.139999,19187500
2020-10-02,36.000000,37.990002,35.939999,37.720001,37.720001,20123400
2020-10-05,37.700001,38.000000,36.880001,37.139999,37.139999,13093100
2020-10-06,37.169998,37.369999,36.040001,36.259998,36.259998,13074700
2020-10-07,36.590000,37.110001,36.365002,36.779999,36.779999,13782100
2020-10-08,37.000000,37.830002,36.959999,37.340000,37.340000,12212400
